Reserved;Main menu;Sub menu 1;Sub menu 2;Sub menu 3;Subsystem IDX;Object IDX;Attribute IDX;Menu Type;Enum Name;Max Digits;Number of dp's;Units Table;Access Rights (read only);Access Rights (standard);Access Rights (advanced);Access Rights (service);English;German;French;Espanol;Italian;Dutch;Danish;Swedish;Finish;Polish;Russian;Chinese
;;Density Lower Range;;;MAPPER_IDX;MAPPER_IDX_dvDensityRangeObj;UOM_PF_value_1;NUMERICAL PARAM;;8;AUTO_RANGING;UOM4;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Density Lower Range;Dichte unterer Wert;Valeur masseVol min.;;;;;;;;;
;;Gas% Upper Range;;;MAPPER_IDX;MAPPER_IDX_dvContentRange;DEV_RNGFLT_hiLim;NUMERICAL PARAM;;6;AUTO_RANGING;%;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Gas% Upper Range;Netto-Gas%ob. Wert;Valeur teneurGaz max;;;;;;;;;
;;Gas% Lower Range;;;MAPPER_IDX;MAPPER_IDX_dvContentRange;DEV_RNGFLT_loLim;NUMERICAL PARAM;;6;AUTO_RANGING;%;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Gas% Lower Range;Netto-Gas%unt. Wert;Valeur teneurGaz min;;;;;;;;;
;;Ext.Cutoff Trigger;;;AI_IDX;AI_IDX_aiExternalCutOffOption;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Ext.Cutoff Trigger;Ext. Ausg-Abschaltw.;D\x82clench. arr\x88t ext.;;;;;;;;;
;;;;;;;;;EXTERNAL_CUT_OFF_4MA;;;;;;;;>4mA;>4mA;> 4 mA;;;;;;;;;
;;;;;;;;;EXTERNAL_CUT_OFF_8MA;;;;;;;;>8mA;>8mA;> 8 mA;;;;;;;;;
;;;;;;;;;EXTERNAL_CUT_OFF_12MA;;;;;;;;>12mA;>12mA;> 12 mA;;;;;;;;;
;;T Int. Upper Range;;;CDT_IDX;CDT_IDX_temperature_range_Obj;UOM_PF_value_0;NUMERICAL PARAM;;7;AUTO_RANGING;UOM5;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;T Int. Upper Range;Ext.-Temp. ob. Wert;Valeur max. T ext.;;;;;;;;;
;;T Int. Lower Range;;;CDT_IDX;CDT_IDX_temperature_range_Obj;UOM_PF_value_1;NUMERICAL PARAM;;7;AUTO_RANGING;UOM5;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;T Int. Lower Range;Ext.-Temp. unt. Wert;Valeur min. T ext.;;;;;;;;;
;;Liquid Mass Corr.;;;MVM_IDX;MVM_IDX_liquidCorrection;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Liquid Mass Corr.;Fl\x81ssig-Masse-Korr.;Corr. Masse liquide;;;;;;;;;
;;;;;;;;;DENSITY_CORRECTION;;;;;;;;Density Corr.;Dichtekorrektur;Correction masse vol;;;;;;;;;
;;;;;;;;;VOLUME_CORRECTION;;;;;;;;Volume Corr.;Vol.-korrektur;Correction volume;;;;;;;;;
;;;;;;;;;WITHOUT_CORRECTION;;;;;;;;No Correction;Ohne;Pas de correction;;;;;;;;;
;;Volume Exp.Coef.;;;MVM_IDX;MVM_IDX_volumeExpandBeta1;0;NUMERICAL PARAM;;8;AUTO_RANGING;/\xF8C;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Volume Exp.Coef.;Volumenausd. Koeffz.;Coef. Volume exp.;;;;;;;;;
;;Density Exp.Coef.;;;MVM_IDX;MVM_IDX_densityExpandBeta2;0;NUMERICAL PARAM;;8;AUTO_RANGING;/\xF8C;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Density Exp.Coef.;Dichteausd. Koeffz.;Coef. MassVolum.Exp.;;;;;;;;;
;;Specific Heat Capacity;;;MVM_IDX;MVM_IDX_heatCapacity;0;NUMERICAL PARAM;;10;AUTO_RANGING;kJ/(kg*K);0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Specific Heat Capacity;Heizwert Medium;Capacit\x82 calorifique;;;;;;;;;
;;Gas Density Selec.;;;MVM_IDX;MVM_IDX_gasDensitySelection;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Gas Density Selec.;Gas Dichte Quelle;S\x82lec. MassVolum gaz;;;;;;;;;
;;;;;;;;;REFERENCY_DENSITY;;;;;;;;Ref. Density;Normdichte;Masse volumique Norm;;;;;;;;;
;;;;;;;;;ACTUAL_DENSITY;;;;;;;;Act. Density;Betriebsdichte;Masse volumique @P&T;;;;;;;;;
;;Gas Ref. Conditions;;;MVM_IDX;MVM_IDX_gasRef;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Gas Ref. Conditions;Gas std.-Bedingungen;Conditions R\x82f. Gaz;;;;;;;;;
;;;;;;;;;UK;;;;;;;;14.7 psi, 60\xF8F ;14.7 psi, 60\xF8F ;14.7 psi, 60\xF8F ;;;;;;;;;
;;;;;;;;;US;;;;;;;;14.7 psi, 70\xF8F ;14.7 psi, 70\xF8F ;14.7 psi, 70\xF8F ;;;;;;;;;
;;;;;;;;;DEG0;;;;;;;;1.013 bar, 0\xF8C;1.013 bar, 0\xF8C;1.013 bar, 0\xF8C;;;;;;;;;
;;;;;;;;;DEG20;;;;;;;;1.013 bar, 20\xF8C;1.013 bar, 20\xF8C;1.013 bar, 20\xF8C;;;;;;;;;
;;Gas Std. Mode;;;MVM_IDX;MVM_IDX_gasComputeType;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Gas Std. Mode;Gas std.-Berechnung;Mode gaz standard;;;;;;;;;
;;;;;;;;;IDEAL_GAS;;;;;;;;Ideal Gas;Ideales Gas;Gaz parfait;;;;;;;;;
;;;;;;;;;ISO12213_MOLAR;;;;;;;;AGA8-DC92;AGA8-DC92;AGA8-DC92;;;;;;;;;
;;;;;;;;;ISO12213_PHISICAL_PROPERTY;;;;;;;;SGERG-88;SGERG-88;SGERG-88;;;;;;;;;
;;Gas Energy Density;;;MVM_IDX;MVM_IDX_calorificEnergy;0;NUMERICAL PARAM;;10;AUTO_RANGING;MJ/m3;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Gas Energy Density;Heizwert Gas;MassVolum \x82nerg. Gaz;;;;;;;;;
;;Water/Steam Type;;;MVM_IDX;MVM_IDX_steamType;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Water/Steam Type;Dampf Masse-Ber.;Type vapeur;;;;;;;;;
;;;;;;;;;STEAMTYPE_OVERHEAT;;;;;;;;Superheated Steam;\x9Aberhitzter Dampf;Vapeur surchauff\x82e;;;;;;;;;
;;;;;;;;;STEAMTYPE_SATURATED;;;;;;;;Saturated Steam;Sattdampf;Vapeur satur\x82e;;;;;;;;;
;;;;;;;;;STEAMTYPE_WATER;;;;;;;;Hot Water;Heisswasser;Eau chaude;;;;;;;;;
;;Density Selection;;;CDT_IDX;CDT_IDX_actualDensitySelection;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Density Selection;Dampf Dichte Quelle;S\x82lec.MassVol.Vapeur;;;;;;;;;
;;;;;;;;;EXT_DENSITY;;;;;;;;Ext. Density;Ext.-Dichte;Masse volumique ext.;;;;;;;;;
;;;;;;;;;CALCULATION_FROM_TP;;;;;;;;Calc. From  P&T;Berechnet von P&T;Calcul \x85 partir P&T;;;;;;;;;
;;;;;;;;;CALCULATION_FROM_T;;;;;;;;Calc. From T;Berechnet von T;Calcul \x85 partir deT ;;;;;;;;;
;;;;;;;;;CALCULATION_FROM_P;;;;;;;;Calc. From P;Berechnet von P;Calcul \x85 partir deP;;;;;;;;;
;;Energy calc. method;;;MVM_IDX;MVM_IDX_steamPwrrFR;0;ENUM PARAM;;;;Not Used;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Energy calc. method;Energie-Berechnung;Type calcul ¨¦nergie;;;;;;;;;
;;;;;;;;;FWD_ONLY;;;;;;;;Gross energy;Gesamt Energie;Energie brute;;;;;;;;;
;;;;;;;;;FWD_REV;;;;;;;;Net energy;Netto Energie;Energie nette;;;;;;;;;
;;Ref. Density ;;;MVM_IDX;MVM_IDX_densigyRefObj;UOM_PF_value_0;NUMERICAL PARAM;;8;AUTO_RANGING;UOM4;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Ref. Density ;Normdichte;Masse volumique r\x82f.;;;;;;;;;
;;Preset Density ;;;MAPPER_IDX;MAPPER_IDX_dvDensityPresetObj;UOM_PF_value_0;NUMERICAL PARAM;;8;AUTO_RANGING;UOM4;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Preset Density ;Dichte (konstant);Masse volum. Pr\x82d\x82f.;;;;;;;;;
;;Ref. Temperature ;;;MVM_IDX;MVM_IDX_refTemperatureObj;UOM_PF_value_0;NUMERICAL PARAM;;8;AUTO_RANGING;UOM5;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Ref. Temperature ;Ref.-Temperatur;Temp\x82rature r\x82f.;;;;;;;;;
;;Preset Int.Temp;;;CDT_IDX;CDT_IDX_temperaturePreset_Obj;UOM_PF_value_0;NUMERICAL PARAM;;8;AUTO_RANGING;UOM5;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Preset Int.Temp;Vorlauf Temp.(konst);Temp. Int.Pr\x82d\x82finie;;;;;;;;;
;;Preset Ext.Temp;;;MAPPER_IDX;MAPPER_IDX_dvTExtPresetObj;UOM_PF_value_0;NUMERICAL PARAM;;8;AUTO_RANGING;UOM5;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Preset Ext.Temp;R\x81ckl. Temp.(konst);Temp. Ext.Pr\x82d\x82finie;;;;;;;;;
;;Preset Pressure(abs);;;MAPPER_IDX;MAPPER_IDX_dvPressurePresetObj;UOM_PF_value_0;NUMERICAL PARAM;;12;AUTO_RANGING;UOM6;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Preset Pressure(abs);Druck (konstant);Pression pr\x82d\x82finie;;;;;;;;;
;;Preset Gas Content;;;MAPPER_IDX;MAPPER_IDX_dvContentPreset;0;NUMERICAL PARAM;;6;AUTO_RANGING;%;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Preset Gas Content;Methangehalt (konst);TeneurGaz pr\x82d\x82finie;;;;;;;;;
;;Qvmax;;;SVM_IDX;SVM_IDX_QvRangeObj;UOM_PF_value_0;NUMERICAL PARAM;;10;AUTO_RANGING;UOM1;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Qvmax;Qv Max;Qv max;;;;;;;;;
;;QnMax;;;MVM_IDX;MVM_IDX_QnRangeObj;UOM_PF_value_0;NUMERICAL PARAM;;10;AUTO_RANGING;UOM1;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;QnMax;Qn Max;Qn max;;;;;;;;;
;;QvpMax;;;MVM_IDX;MVM_IDX_QvPartialRangeObj;UOM_PF_value_0;NUMERICAL PARAM;;10;AUTO_RANGING;UOM1;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;QvpMax;QvP Max;Qvp max;;;;;;;;;
;;QnpMax;;;MVM_IDX;MVM_IDX_QnPartialRangeObj;UOM_PF_value_0;NUMERICAL PARAM;;10;AUTO_RANGING;UOM1;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;QnpMax;QnP Max;Qnp max;;;;;;;;;
;;QmMax;;;MVM_IDX;MVM_IDX_QmRangeObj;UOM_PF_value_0;NUMERICAL PARAM;;12;AUTO_RANGING;UOM2;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;QmMax;Qm Max;Qm max;;;;;;;;;
;;QpowerMax;;;MVM_IDX;MVM_IDX_QpRangeObj;UOM_PF_value_0;NUMERICAL PARAM;;12;AUTO_RANGING;UOM3;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;QpowerMax;QEnergie Max;Qpuissance max;;;;;;;;;
;;Damping Qv;;;SVM_IDX;SVM_IDX_QvDampingTime;0;NUMERICAL PARAM;;6;AUTO_RANGING;s;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Damping Qv;D\x84mpfung Qv;Amortissement Qv;;;;;;;;;
;;Damping Qn;;;MVM_IDX;MVM_IDX_QnDampingTime;0;NUMERICAL PARAM;;6;AUTO_RANGING;s;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Damping Qn;D\x84mpfung Qn;Amortissement Qn;;;;;;;;;
;;Damping Qvp;;;MVM_IDX;MVM_IDX_QvPartialDampingTime;0;NUMERICAL PARAM;;6;AUTO_RANGING;s;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Damping Qvp;D\x84mpfung QvP;Amortissement Qvp;;;;;;;;;
;;Damping Qnp;;;MVM_IDX;MVM_IDX_QnPartialDampingTime;0;NUMERICAL PARAM;;6;AUTO_RANGING;s;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Damping Qnp;D\x84mpfung QnP;Amortissement Qnp;;;;;;;;;
;;Damping Qm;;;MVM_IDX;MVM_IDX_QmDampingTime;0;NUMERICAL PARAM;;6;AUTO_RANGING;s;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Damping Qm;D\x84mpfung Qm;Amortissement Qm;;;;;;;;;
;;Damping Qpower;;;MVM_IDX;MVM_IDX_QpDampingTime;0;NUMERICAL PARAM;;6;AUTO_RANGING;s;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Damping Qpower;D\x84mpfung Qenergie;Amortissement Qpuiss;;;;;;;;;
;;Temp->I=0%;;;CDT_IDX;CDT_IDX_temperature_range_Obj;UOM_PF_value_1;NUMERICAL PARAM;;8;AUTO_RANGING;UOM5;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Temp->I=0%;Temp-> I = 4mA;Temp -> I = 0%;;;;;;;;;
;;Temp->I=100%;;;CDT_IDX;CDT_IDX_temperature_range_Obj;UOM_PF_value_0;NUMERICAL PARAM;;8;AUTO_RANGING;UOM5;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Temp->I=100%;Temp-> I = 20mA;Temp -> I = 100%;;;;;;;;;
;;Damping Temperature;;;CDT_IDX;CDT_IDX_temperature_DampingTime;0;NUMERICAL PARAM;;6;AUTO_RANGING;s;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Damping Temperature;D\x84mpfung Temp.;Amortissement temp.;;;;;;;;;
;;Auto Zero;;;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_writeAutoZero;0;AUTO ADJUST;;;;;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Auto Zero;Nullpunkt setzen;Auto z\x82ro;;;;;;;;;
;;Low Flow Cutoff;;;SVM_IDX;SVM_IDX_QvLowCutOff;0;NUMERICAL PARAM;;5;AUTO_RANGING;%;0 Read Only;1 Read/Write;1 Read/Write;1 Read/Write;Low Flow Cutoff;Schleichmenge;Coupure bas d\x82bit;;;;;;;;;
;Device Info.;;;;;;;CONFIG HEADER;;;;;;;;;Device Info;Ger\x84te Info;Infos appareil;;;;;;;;;
;;Sensor;;;;;;MENU;;;;;;;;;Sensor;Aufnehmer;Capteur;;;;;;;;;
;;;Sensor Type;;CDT_IDX;CDT_IDX_converterType;0;ENUM PARAM (view only);;;;Not Used;0 Read Only;0 Read Only;0 Read Only;1 Read/Write;Sensor Type;Aufnehmer Typ;Type de capteur;;;;;;;;;
;;;;;;;;;SWIREL;;;;;;;;Swirl;Drall;Swirl;;;;;;;;;
;;;;;;;;;VORTEX;;;;;;;;Vortex;Vortex;Vortex;;;;;;;;;
;;;Meter(V) Size;;CDT_IDX;CDT_IDX_vortexmeterSize;0;ENUM PARAM (view only);;;;Not Used;0 Read Only;0 Read Only;0 Read Only;1 Read/Write;Meter(V) Size;Nennweite;Taille appareil (V);;;;;;;;;
;;;;;;;;;VotrexD15mm;;;;;;;;DIN 15 mm;DIN 15 mm;DIN 15 mm;;;;;;;;;
;;;;;;;;;VotrexD25mm;;;;;;;;DIN 25 mm;DIN 25 mm;DIN 25 mm;;;;;;;;;
;;;;;;;;;VotrexD40mm;;;;;;;;DIN 40 mm;DIN 40 mm;DIN 40 mm;;;;;;;;;
;;;;;;;;;VotrexD50mm;;;;;;;;DIN 50 mm;DIN 50 mm;DIN 50 mm;;;;;;;;;
;;;;;;;;;VotrexD80mm;;;;;;;;DIN 80 mm;DIN 80 mm;DIN 80 mm;;;;;;;;;
;;;;;;;;;VotrexD100mm;;;;;;;;DIN 100 mm;DIN 100 mm;DIN 100 mm;;;;;;;;;
;;;;;;;;;VotrexD150mm;;;;;;;;DIN 150 mm;DIN 150 mm;DIN 150 mm;;;;;;;;;
;;;;;;;;;VotrexD200mm;;;;;;;;DIN 200 mm;DIN 200 mm;DIN 200 mm;;;;;;;;;
;;;;;;;;;VotrexD250mm;;;;;;;;DIN 250 mm;DIN 250 mm;DIN 250 mm;;;;;;;;;
;;;;;;;;;VotrexD300mm;;;;;;;;DIN 300 mm;DIN 300 mm;DIN 300 mm;;;;;;;;;
;;;;;;;;;VotrexA15mm;;;;;;;;ANSI 15 mm;ANSI 15 mm;ANSI 15 mm;;;;;;;;;
;;;;;;;;;VotrexA25mm;;;;;;;;ANSI 25 mm;ANSI 25 mm;ANSI 25 mm;;;;;;;;;
;;;;;;;;;VotrexA40mm;;;;;;;;ANSI 40 mm;ANSI 40 mm;ANSI 40 mm;;;;;;;;;
;;;;;;;;;VotrexA50mm;;;;;;;;ANSI 50 mm;ANSI 50 mm;ANSI 50 mm;;;;;;;;;
;;;;;;;;;VotrexA80mm;;;;;;;;ANSI 80 mm;ANSI 80 mm;ANSI 80 mm;;;;;;;;;
;;;;;;;;;VotrexA100mm;;;;;;;;ANSI 100 mm;ANSI 100 mm;ANSI 100 mm;;;;;;;;;
;;;;;;;;;VotrexA150mm;;;;;;;;ANSI 150 mm;ANSI 150 mm;ANSI 150 mm;;;;;;;;;
;;;;;;;;;VotrexA200mm;;;;;;;;ANSI 200 mm;ANSI 200 mm;ANSI 200 mm;;;;;;;;;
;;;;;;;;;VotrexA250mm;;;;;;;;ANSI 250 mm;ANSI 250 mm;ANSI 250 mm;;;;;;;;;
;;;;;;;;;VotrexA300mm;;;;;;;;ANSI 300 mm;ANSI 300 mm;ANSI 300 mm;;;;;;;;;
;;;Meter(S) Size;;CDT_IDX;CDT_IDX_swirlmeterSize;0;ENUM PARAM (view only);;;;Not Used;0 Read Only;0 Read Only;0 Read Only;1 Read/Write;Meter(S) Size;Nennweite;Taille appareil (S);;;;;;;;;
;;;;;;;;;Swirl15mm;;;;;;;;15 mm;15 mm;15 mm;;;;;;;;;
;;;;;;;;;Swirl20mm;;;;;;;;20 mm;20 mm;20 mm;;;;;;;;;
;;;;;;;;;Swirl25mm;;;;;;;;25 mm;25 mm;25 mm;;;;;;;;;
;;;;;;;;;Swirl32mm;;;;;;;;32 mm;32 mm;32 mm;;;;;;;;;
;;;;;;;;;Swirl40mm;;;;;;;;40 mm;40 mm;40 mm;;;;;;;;;
;;;;;;;;;Swirl50mm;;;;;;;;50 mm;50 mm;50 mm;;;;;;;;;
;;;;;;;;;Swirl80mm;;;;;;;;80 mm;80 mm;80 mm;;;;;;;;;
;;;;;;;;;Swirl100mm;;;;;;;;100 mm;100 mm;100 mm;;;;;;;;;
;;;;;;;;;Swirl150mm;;;;;;;;150 mm;150 mm;150 mm;;;;;;;;;
;;;;;;;;;Swirl200mm;;;;;;;;200 mm;200 mm;200 mm;;;;;;;;;
;;;;;;;;;Swirl300mm;;;;;;;;300 mm;300 mm;300 mm;;;;;;;;;
;;;;;;;;;Swirl400mm;;;;;;;;400 mm;400 mm;400 mm;;;;;;;;;
;;;QvMaxDN;;SVM_IDX;SVM_IDX_QvMaxDNObj;UOM_PF_value_0;NUMERICAL PARAM (view only);;10;AUTO_RANGING;UOM1;0 Read Only;0 Read Only;0 Read Only;1 Read/Write;QvMaxDN;QvMax DN;Qv max DN;;;;;;;;;
;;;QvpMaxDN;;MVM_IDX;MVM_IDX_QvPartialMaxDNObj;UOM_PF_value_0;NUMERICAL PARAM;;10;AUTO_RANGING;UOM2;0 Read Only;0 Read Only;0 Read Only;0 Read Only;QvpMaxDN;QvPMax DN;Qvp max DN;;;;;;;;;
;;;QmMaxDN;;MVM_IDX;MVM_IDX_QmMaxDNObj;UOM_PF_value_0;NUMERICAL PARAM;;12;AUTO_RANGING;UOM2;0 Read Only;0 Read Only;0 Read Only;0 Read Only;QmMaxDN;QmMax DN;Qm max DN;;;;;;;;;
;;;QnMaxDN;;MVM_IDX;MVM_IDX_QnMaxDNObj;UOM_PF_value_0;NUMERICAL PARAM;;10;AUTO_RANGING;UOM1;0 Read Only;0 Read Only;0 Read Only;0 Read Only;QnMaxDN;QnMax DN;Qn mx DN;;;;;;;;;
;;;QnpMaxDN;;MVM_IDX;MVM_IDX_QnPartialMaxDNObj;UOM_PF_value_0;NUMERICAL PARAM;;10;AUTO_RANGING;UOM1;0 Read Only;0 Read Only;0 Read Only;0 Read Only;QnpMaxDN;QnPMax DN;Qnp max DN;;;;;;;;;
;;;QpowerMaxDN;;MVM_IDX;MVM_IDX_QpMaxDNObj;UOM_PF_value_0;NUMERICAL PARAM;;12;AUTO_RANGING;UOM3;0 Read Only;0 Read Only;0 Read Only;0 Read Only;QpowerMaxDN;QEnergieMax DN;Qpuissance max DN;;;;;;;;;
;;;Sensor ID;;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorID;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Sensor ID;Sensor ID;# s\x82rie capteur;;;;;;;;;
;;;SAP/ERP No.;;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;SAP/ERP No.;SAP/ERP Nr;#interne ABB SAP/ERP;;;;;;;;;
;;;Sensor Run Hours;;CDT_IDX;CDT_IDX_frontendOperationHour;0;NUMERICAL PARAM (view only);;12;0;h;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Sensor Run Hours;Sensor Betriebsstd.;Heures de fonctionn.;;;;;;;;;
;;;Calibration;;;;;MENU;;;;;;;;;Calibration;Kalibrierung;Etalonnage;;;;;;;;;
;;;;Cal. Date;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorCalDate;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Cal. Date;Kalibrier-Datum;Date \x82talonnage;;;;;;;;;
;;;;Cal. Cert. No.;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorCalCertNo;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Cal. Cert. No.;Zertifikat-Nr.;# Certif. \x90talonnage;;;;;;;;;
;;;;Cal. Location;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorCalLocation;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Cal. Location;Kalibrier-Ort;Lieu \x82talonnage;;;;;;;;;
;;Transmitter;;;;;;MENU;;;;;;;;;Transmitter;Transmitter;Transmetteur;;;;;;;;;
;;;Transmitter Type;;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;1 Read/Write;Transmitter Type;Transmitter Typ;Type transmetteur;;;;;;;;;
;;;Transmitter ID;;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranID;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Transmitter ID;Transmitter ID;# s\x82rie transmetteur;;;;;;;;;
;;;SAP/ERP No.;;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;SAP/ERP No.;SAP/ERP Nr;#interne ABB SAP/ERP;;;;;;;;;
;;;Transmitter Version;;;;;MENU;;;;;;;;;Transmitter Version;Transmitter Version;Version transmetteur;;;;;;;;;
;;;;Transmitter FW Ver.;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_swRevisionHmi_transmitter;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Transmitter FW Ver.;Transm. Firmw. Vers.;Version logiciel Tx;;;;;;;;;
;;;;Transmitter HW Ver.;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_hwRevisionHmi_transmitter;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Transmitter HW Ver.;Transm. Hardw. Vers.;Version mat\x82riel Tx;;;;;;;;;
;;;;Frontend FW Version;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_swRevisionHmi_fe;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Frontend FW Version;Sensor Firmw. Vers.;Version logic. Front;;;;;;;;;
;;;;Frontend HW Version;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_hwRevisionHmi_fe;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Frontend HW Version;Sensor Hardw. Vers.;Version mat. Front.;;;;;;;;;
;;;;Bootloader Version;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_bootloaderRevision;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Bootloader Version;Bootloader Version;Version boot;;;;;;;;;
;;;Transmitter Run Hours;;CDT_IDX;CDT_IDX_totalWorkingTimeHour;0;NUMERICAL PARAM (view only);;12;0;h;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Transmitter Run Hours;Transm. Betriebsst.;Heures fonctionn. Tx;;;;;;;;;
;;;Calibration;;;;;MENU;;;;;;;;;Calibration;Kalibrierung;Etalonnage;;;;;;;;;
;;;;Cal. Date;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranCalDate;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Cal. Date;Kalibrier-Datum;Date \x82talonnage;;;;;;;;;
;;;;Cal. Cert. No..;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranCalCertNo;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Cal. Cert. No..;Zertifikat-Nr.;# Certif. \x90talonnage;;;;;;;;;
;;;;Cal. Location;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranCalLocation;0;STRING PARAM (view only);;;;;1 Read/Write;1 Read/Write;1 Read/Write;1 Read/Write;Cal. Location;Kalibrier-Ort;Lieu \x82talonnage;;;;;;;;;
;;;Manufacturer;;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_manufacturer;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Manufacturer;Hersteller;Fabricant;;;;;;;;;
;;;Street;;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_street;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;Street;Strasse;Rue;;;;;;;;;
;;;City;;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_city;0;STRING PARAM (view only);;;;;0 Read Only;0 Read Only;0 Read Only;0 Read Only;City;Stadt;Ville;;;;;;;;;
